State,District,Block,Village,pH,EC,CO3,HCO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,WQI,Water Quality Classification
Tamil Nadu,KARUR,THATHENI,Jagatabi,7.82,815,40.37,354,46,26,51,320,86,25,39,7.2,1.52,489,216.59,Very Poor yet Drinkable
Tamil Nadu,Tirunelveli,MANUR,Nelliappar temple,7.4,1399,40.37,176.9,184.3,77,77,230,44,29.2,114.3,91.4,0.66,1126,387.03,Unsuitable for Drinking
Tamil Nadu,KARUR,KRISH0RAYAPURAM,Mayanur,7.46,1716,40.37,317,292,102,92,480,124,41,140,14,0.86,1029,437.6,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,PALAYAMKOTTAI,Ngo A Colony dw,7.2,1440,40.37,353.8,205.6,102,22,400,76,51,113.4,0.2,0.52,1126,400.96,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,PALLADAM,Kallampalayam,7.61,1055,40.37,226,149,61,101,210,44,24,140,5.9,1.12,633,276.7,Very Poor yet Drinkable
Tamil Nadu,Tirunelveli,MELNEELITHANALLUR,P.chatram,7,3270,40.37,463.6,553,161,74,1080,248,111.8,124,0.4,0.41,1126,675.11,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,NA,Velampalayam,7.52,594,40.37,244,53,25,13,270,68,24,33,5.1,0.1,356,156.42,Poor
Tamil Nadu,Tirunelveli,PALAYAMKOTTAI,Palayamkottai,7.1,2760,40.37,561.2,524.7,128,71,720,104,111.8,312.7,39.2,0.65,1126,623.53,Unsuitable for Drinking
Tamil Nadu,TIRUPUR,TUKKA0YAKKANPALAYA,Kasipalayam,7.67,5100,40.37,537,1209,352,185,1260,88,253,462,103,1.33,3060,1280.34,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,TENKASI,Panpoli,7.6,1430,40.37,402.6,127.6,68,46,340,52,51,113.6,56.3,0.48,1126,398.77,Unsuitable for Drinking
Tamil Nadu,TIRUPUR,TIRUPUR,Mannur,7.3,6320,40.37,512,1465,478,130,2140,360,301,668,21,1.14,3792,1574.22,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,AMBASAMUDRAM,Papanasam1,7.1,696,40.37,109.8,56.7,54,2,110,32,7.3,28,28.3,0.13,1126,267.04,Very Poor yet Drinkable
Tamil Nadu,COIMBATORE,NA,Alathur,6.36,116,40.37,49,18,2.6,0.11,50,12,5,6.8,1.2,0.1,69,31.17,Excellent
Tamil Nadu,Tirunelveli,KALAKADU,Poothatan Kudieruppu,7.5,3260,40.37,475.8,595.6,243,64,990,112,172.6,247,63.6,0.98,1126,691.05,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,ANNUR,Annur,7.62,1637,40.37,378,206,84,154,430,94,47,133,118,0.36,982,430.48,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,TENKASI,R.Pattinam,7,1562,40.37,329.4,283.6,46,40,640,92,99.6,64,26.9,1.33,1126,416.76,Unsuitable for Drinking
Tamil Nadu,0GIRI,KOTHAGIRI,Mullur,7.9,190,40.37,85,14,4.1,10,90,16,12,3.5,1,0.14,114,50.78,Good
Tamil Nadu,Tirunelveli,VALLIYOOR,Radhapuram1,7.1,430,40.37,158.6,70.9,19,5,225,44,27.9,17,4.6,0.23,1126,237.97,Very Poor yet Drinkable
Tamil Nadu,0GIRI,KOTHAGIRI,Kothagiri,7.63,295,40.37,110,18,1.1,50,120,40,5,7.9,2.4,0.02,177,81.1,Good
Tamil Nadu,Tirunelveli,MANUR,Rajapathi OW,7.4,3850,40.37,176.9,694.8,236,30,830,128,124,220,1.7,1.67,1126,729.98,Unsuitable for Drinking
Tamil Nadu,0GIRI,OOTACAMUND,Udhagamandalam,7.56,613,40.37,92,89,24,92,190,68,5,38,22,0.02,367,162.05,Poor
Tamil Nadu,Tirunelveli,NANGUNERI,Ramakrishnapuram OW,7.4,1890,40.37,219.6,397,74,5,460,120,38.9,166,0.3,0.84,1126,456.8,Unsuitable for Drinking
Tamil Nadu,0GIRI,OOTACAMUND,Pykara,7.6,302,40.37,31,50,5,47,70,24,2,20,14,0.62,181,78.77,Good
Tamil Nadu,Tirunelveli,SANKARANKOIL,Sankarankoil1,7,2300,40.37,366,333.2,9,62,780,36,167.7,63.1,2.9,0.67,1126,504.7,Unsuitable for Drinking
Tamil Nadu,0GIRI,PUNDALUR,Pandalur,6.49,337,40.37,85,36,39,18,135,44,6,15,14,0.1,202,89.71,Good
Tamil Nadu,Tirunelveli,SANKARANKOIL,Sankarankoil2,7.1,1152,40.37,292.8,127.6,15,29,360,84,36.5,35.3,2.9,0.59,1126,343.16,Unsuitable for Drinking
Tamil Nadu,0GIRI,PUNDALUR,Cherambadi,6.6,360,40.37,104,32,4,61,175,62,5,9,5.8,0.12,216,98.06,Good
Tamil Nadu,Tirunelveli,PAPPAKUDI,Seetharappanallur,7.2,4560,40.37,488,1013.9,96,70,1080,168,160.4,483.2,28,0.73,1126,874.94,Unsuitable for Drinking
Tamil Nadu,0GIRI,NA,Wellington,7.1,324,40.37,55,46,2,52,150,22,23,9.7,1.7,0.08,194,84.4,Good
Tamil Nadu,Tirunelveli,SHENKOTTAH,Sencottai,7.4,993,40.37,231.8,127.6,8,2,240,44,31.6,62.4,16.5,0.21,1126,315.06,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,ANNUR,Ganesapuram,7.25,1484,40.37,323,249,32,116,555,116,64,128,18,0.58,890,383.41,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VASUDEVANALLUR,Sivagiri,7.1,2120,40.37,585.6,177.3,45,19,410,44,72.9,107.8,153.8,1.26,1126,496.25,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,P.N.PALAYAM,CWC campus,7.83,1854,40.37,451,75,474,24,330,66,40,373,7.7,1.56,1112,499.63,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VASUDEVANALLUR,Sivagiri OW,7.3,1521,40.37,573.4,156,75,58,590,104,80.2,76,0.5,0.64,1126,427.28,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,THONDAMUTHUR,Kuniyamuthur,7.6,1358,40.37,238,185,100,149,485,102,56,133,12,0.52,814,356.66,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,KEEZHAPAVUR,Sivalarkulam OW,7.4,915,40.37,439.2,78,24,1,310,40,51,88,13.3,1.78,1126,323,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,MADUKKARAI,Pichanur,7.82,622,40.37,323,43,14,11,335,76,35,29,4.8,0.52,373,167.02,Poor
Tamil Nadu,Tirunelveli,MANUR,Syed Beedi Company,7.4,623,40.37,329.4,42.5,48,7,330,64,41.3,16.7,17.4,0.61,1126,278.02,Very Poor yet Drinkable
Tamil Nadu,COIMBATORE,THONDAMUTHUR,Devarayapuram,7.56,1784,40.37,342,220,142,229,640,132,75,160,6.6,0.62,1070,473.42,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,MANUR,Tachchnallur,7,1676,40.37,378.2,290.7,61,32,610,112,80.2,68.2,0.3,1.54,1126,434.43,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,THONDAMUTHUR,Thondamuthur,7.63,1738,40.37,268,299,109,84,530,92,73,167,8.7,0.7,1042,438.36,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,MANUR,Taruvai,7.3,1818,40.37,280.6,390,157,68,870,140,126.4,66,13.1,0.91,1126,470.22,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,KARAMADAI,Seeliyur,7.65,1304,40.37,299,142,234,12,520,96,68,108,14,1.1,782,341.59,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,TENKASI,Tenkasi OW,7.3,3120,40.37,475.8,446.7,100,61,760,148,94.8,148.2,34.6,0.5,1126,638.36,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,KARAMADAI,Karamadai,7.79,942,40.37,262,100,42,64,235,50,27,78,49,0.66,565,244.88,Very Poor yet Drinkable
Tamil Nadu,Tirunelveli,TENKASI,TenkasiPZ,7.3,639,40.37,244,56.7,47,39,335,68,40.1,18,12.1,0.8,1126,278.14,Very Poor yet Drinkable
Tamil Nadu,COIMBATORE,P.N.PALAYAM,P.N.Palayam,7.85,2240,40.37,671,220,107,178,690,148,78,209,27,1.14,1344,586.63,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VALLIYOOR,Therkuvalliyur OW,7.4,3090,40.37,366,602.7,223,76,750,116,111.8,228,218,1.28,1126,668.33,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,THONDAMUTHUR,Stock exchange,7.81,1685,40.37,427,206,133,89,410,64,61,233,7.5,0.88,1011,438.73,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,TENKASI,Thiraviyarnagar,7.3,718,40.37,170.8,49.6,77,32,230,48,26.7,23,15.2,0.69,1126,281.53,Very Poor yet Drinkable
Tamil Nadu,COIMBATORE,SULUR,Sulur,7.9,2230,40.37,525,320,95,131,580,196,22,212,20,0.58,1338,573.51,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,PALAYAMKOTTAI,Tirunelveli1,7.2,1072,40.37,183,170.2,67,12,240,48,29.2,71.6,29.6,1.56,1126,332.96,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,PALLADAM,Kaltanpet,8.21,231,40.37,73,36,4.8,7.8,80,20,7,9,1.9,0.1,138,59.99,Good
Tamil Nadu,Tirunelveli,VALLIYOOR,Tiruvembalapuram,7.28,2660,40.37,414.8,538.8,120,58,780,168,87.5,232.8,11,0.7,1126,594.83,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,SULUR,Samalapuram,7.67,9050,40.37,549,2219,667,53,2880,584,345,814,22,1.38,5430,2220.32,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VALLIYOOR,Udayattur A/B OW,7.27,3510,40.37,353.8,893.3,122,20,1170,300,102.1,281.3,18.1,1.35,1126,722.87,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,KI0THUKADAVU,Sokkanur,8.03,1551,40.37,439,132,134,88,390,104,32,109,122,0.72,930,407.32,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,RADHAPURAM,Uvari,7.5,832,40.37,317.2,92.2,48,14,300,72,29.2,41.6,45,0.21,1126,309.15,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,SARKAR SAMAKULAM,Podanur,6.85,2190,40.37,329,420,95,67,650,120,85,214,23,0.44,1314,545.77,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VALLIYOOR,Valliyoor,7.5,1183,40.37,317.2,141.8,128,65,480,96,58.3,83,35.1,0.82,1126,373.7,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,THONDAMUTHUR,Sugarcane institute,7.33,4110,40.37,415,789,332,167,520,68,85,671,11,0.8,2466,1031.83,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,VALLIYOOR,Valliyur,7.7,2620,40.37,634.4,404.1,194,61,660,164,60.8,250.3,27.4,0.94,1126,607.25,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,POLLACHI NORTH,Gopalapuram,8.71,897,24,73,167,64,33,260,36,41,88,5.5,0.46,538,221.28,Very Poor yet Drinkable
Tamil Nadu,Tirunelveli,CHERANMADEVI,Vannikonendal,7.2,2810,40.37,427,382.9,252,56,640,148,65.6,207.4,0.6,0.56,1126,610.26,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,NA,Thivansapudur,8.72,799,42,67,142,75,38.19,260,36,41,68,6.4,0.78,479,194.43,Poor
Tamil Nadu,Tirunelveli,VASUDEVANALLUR,Vasudevanallur2,7.2,945,40.37,231.8,49.6,46,33,310,56,41.3,23.1,2.7,1.43,1126,309.5,Unsuitable for Drinking
Tamil Nadu,COIMBATORE,A0IMALAI,Angalakurichi,8.97,1481,84,281,213,65,43,80,16,10,295,24,5,888,372.11,Unsuitable for Drinking
Tamil Nadu,Tirunelveli,SANKARANKOIL,Virasikhamani OW,6.9,786,40.37,170.8,134.7,21,56,310,56,41.3,24,18.6,0.4,1126,294.84,Very Poor yet Drinkable
Tamil Nadu,COIMBATORE,MADATHUKULAM,Kaniyur,8.59,980,36,37,142,100,82,410,50,69,46,7.9,0.98,588,243.02,Very Poor yet Drinkable
Tamil Nadu,Tiruppur,UTHUKULI,Arugampalayam,7.19,10580,40.37,518.6,2513.4,1114.8,34.4,1180,240,141.1,1896,19.6,1.09,1126,1885.43,Unsuitable for Drinking
Tamil Nadu,Tiruppur,AVINASHI,Avinashi1,7.48,458,40.37,134.2,71,65.6,8,200,40,24.3,26.6,10.4,0.12,1126,245.3,Very Poor yet Drinkable
Tamil Nadu,Trichy,ANDA0LLUR,Mudaliarchatram,7.9,1208,40.37,238,227,57,48.5,480,112,49,59,10,0.76,724,307.18,Unsuitable for Drinking
Tamil Nadu,Tiruppur,MADATHUKULAM,Kaniyur,7.2,1529,40.37,317.3,213,173.3,15.6,490,96,60.8,120.8,29.9,0.54,1126,419.19,Unsuitable for Drinking
Tamil Nadu,Trichy,MA0CHA0LLUR,Siruganur,7.8,2670,40.37,354,440,172,304.9,740,80,131,284,12,1.47,1602,690.72,Unsuitable for Drinking
Tamil Nadu,Tiruppur,AVINASHI,Karamadai,7.36,1650,40.37,567.4,220.1,88.6,8.9,500,120,48.6,140.9,35.2,1.6,1126,447.13,Unsuitable for Drinking
Tamil Nadu,Trichy,LALGUDI,Pullambadi1,7.7,6770,40.37,403,1960,204,95,1800,240,292,719,66,0.8,4062,1660,Unsuitable for Drinking
Tamil Nadu,Tiruppur,MADATHUKULAM,Karattoluvu,7.29,1946,40.37,506.4,241.4,192.1,2.4,480,104,53.5,211,65.3,0.77,1126,493.03,Unsuitable for Drinking
Tamil Nadu,Trichy,PULLAMPADY,Pullambadi,7.9,3420,40.37,354,838,108,98,860,192,92,328,36,0.69,2052,847.16,Unsuitable for Drinking
Tamil Nadu,Tiruppur,AVINASHI,KaravallurPZ,7.42,3620,40.37,549.1,631.9,289.5,69.4,910,108,155.7,332.8,18.1,1.58,1126,749.11,Unsuitable for Drinking
Tamil Nadu,Trichy,MULANUR,Valadi,7.8,1512,40.37,397,241,126.5,0.3,630,116,83,69,5,0.79,907,385.27,Unsuitable for Drinking
Tamil Nadu,Tiruppur,THIRUPPUR,Kasipalayam (T),7.22,4350,40.37,530.8,994,56.2,78.2,1240,168,199.5,304.6,96.9,0.9,1126,844.5,Unsuitable for Drinking
Tamil Nadu,Trichy,ANDA0LLUR,Srirangam,7.9,902,40.37,275,121,59,0.1,270,44,39,74,5,0.8,541,229.91,Very Poor yet Drinkable
Tamil Nadu,Tiruppur,PONGALUR,Kettanur,7.47,2450,40.37,732.1,340.8,160.4,0.8,650,112,90,201.8,105.3,1.14,1126,577.91,Unsuitable for Drinking
Tamil Nadu,Trichy,MA0CHA0LLUR,Kollidam Karai,8,472,40.37,159,57,33.5,0.1,170,36,19,28,12,1.1,283,122.4,Poor
Tamil Nadu,Tiruppur,MADATHUKULAM,Kumaralingam,6.88,283,40.37,79.3,35.5,23.4,0.5,120,28,12.2,6.2,2.6,0.4,1126,209.08,Very Poor yet Drinkable
Tamil Nadu,Trichy,MANIKANDAM,Sembattu,8.1,1820,40.37,397,405,41,0.3,560,76,90,168,10,1.66,1092,455.24,Unsuitable for Drinking
Tamil Nadu,Tiruppur,PONGALUR,Nachipalayam,7.5,2880,40.37,512.5,433.1,242.1,197.2,710,104,109.5,286.5,13.1,1.06,1126,653,Unsuitable for Drinking
Tamil Nadu,Trichy,MA0CHA0LLUR,Thiruvallarai,8.5,1735,90,323,227,55,133.4,520,116,56,91,152,0.38,1041,442.09,Unsuitable for Drinking
Tamil Nadu,Tiruppur,THIRUPPUR,Odakadu,7.44,1634,40.37,475.9,113.6,147.2,165,500,116,51.1,136.9,8.6,0.09,1126,455.3,Unsuitable for Drinking
Tamil Nadu,Trichy,MUSIRI,Pulivalam,8,2680,40.37,207,533,240.5,234.8,580,144,54,339,8,0.96,1608,690.07,Unsuitable for Drinking
Tamil Nadu,Tiruppur,PALLADAM,Palavanchipalayam pz,7.05,2290,40.37,475.9,426,143,3.5,690,140,82.7,166.4,4.7,1.44,1126,537.09,Unsuitable for Drinking
Tamil Nadu,Trichy,THURAIYUR,Thuraiyur,9.1,1762,96,201,355,21,69.5,310,40,51,264,2,1.43,1057,432.08,Unsuitable for Drinking
Tamil Nadu,Tiruppur,PALLADAM,Palladam,7.42,1737,40.37,378.3,276.9,154.5,1.2,690,128,90,88.2,15.7,0.62,1126,449.52,Unsuitable for Drinking
Tamil Nadu,Trichy,THATHAIYANGARPET,Tumbalam,9.4,959,60,31,206,23,51.6,130,32,12,128,59,0.7,575,235.73,Very Poor yet Drinkable
Tamil Nadu,Tiruppur,GUDIMANGALAM,Periyapatti,7.21,1513,40.37,353.9,248.5,86.4,5.4,680,176,58.4,33.1,4.8,0.43,1126,410.46,Unsuitable for Drinking
Tamil Nadu,Trichy,THOTTIAM,Thottiyam,8,1767,40.37,244,376,63,103.8,750,152,90,67,10,0.74,1060,444.8,Unsuitable for Drinking
Tamil Nadu,Tiruppur,ANNUR,Pongalur1,7.68,1542,40.37,323.4,220.1,203.8,3,460,88,58.4,127.5,22.8,0.8,1126,422.93,Unsuitable for Drinking
Tamil Nadu,Trichy,MUSIRI,Musiri2,8.1,1749,40.37,238,263,241,87.4,370,96,32,203,26,1.05,1049,452.32,Unsuitable for Drinking
Tamil Nadu,Tiruppur,THIRUPPUR,Rengagoundanpalayam,7.26,1880,40.37,317.3,269.8,148.3,165,520,88,73,155.7,22.5,0.3,1126,484.13,Unsuitable for Drinking
Tamil Nadu,Trichy,MA0CHA0LLUR,Sirukambur,8,2780,40.37,366,533,125,231.6,480,84,66,272,204,0.75,1668,714.42,Unsuitable for Drinking
Tamil Nadu,Tiruppur,THIRUPPUR,Tiruppur Agraharam,7.34,4840,40.37,799.2,894.6,48.6,8.7,980,208,111.9,501.4,30.9,0.13,1126,911.38,Unsuitable for Drinking
Tamil Nadu,Trichy,ANDA0LLUR,Tiruvasi,8,1185,40.37,275,192,90.5,53.3,460,92,56,67,13,0.69,711,307.01,Unsuitable for Drinking
Tamil Nadu,Tiruppur,THIRUPPUR,Tiruppur1,7.45,1710,40.37,451.5,255.6,247.6,44.6,500,84,70.5,220.3,7.1,1.21,1126,471.51,Unsuitable for Drinking
Tamil Nadu,Trichy,VAIYAMPATTY,Kovilpatty,7.7,3020,40.37,159,902,23.5,69.4,1220,296,117,120,7,0.89,1812,735.57,Unsuitable for Drinking
Tamil Nadu,Tiruppur,UDUMALAIPETTAI,Udumalpet1,7.5,828,40.37,244,113.6,75.1,4.1,240,48,29.2,64.8,31.9,0.45,1126,305.08,Unsuitable for Drinking
Tamil Nadu,Trichy,MA0PARAI,Muthupandiyanpatti,8.1,670,40.37,183,85,23.5,56.2,240,52,27,35,4,0.65,402,174.47,Poor
Tamil Nadu,Tiruppur,THIRUPPUR,Weekly Market,7.39,1850,40.37,536.9,262.7,209.5,78.5,420,56,68.1,244.3,53.8,1.56,1126,498.32,Unsuitable for Drinking
Tamil Nadu,Trichy,THIRUVERAMBUR,Thuvakkudi,8.6,1025,48,31,220,31,59.4,290,56,36,99,11,0.64,615,249.82,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,SHOLAVARAM,Alamadhi,7.44,1074,40.37,402.6,63.9,12,2.2,200,64,9.7,88.4,13.7,0.65,1126,335.82,Unsuitable for Drinking
Tamil Nadu,Thanjavur,BUDALUR,Thiruvilapatti,8.1,1977,40.37,329,483,16,56.7,520,132,46,206,1,1.02,1186,496.29,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,VILLIVAKKAM,Ambattur,7.5,905,40.37,125,184,28,21.8,330,48,46.2,46,16.3,0.76,1126,305.48,Unsuitable for Drinking
Tamil Nadu,Thanjavur,BUDALUR,t Budalur,8.1,1106,40.37,171,256,32,56.3,410,136,17,75,2,1.07,663,282.81,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,KADAMBATHUR,Andersonpet,7.62,1265,40.37,610,120.7,9,2.1,260,76,17,182.6,18,0.72,1126,386.49,Unsuitable for Drinking
Tamil Nadu,Thanjavur,BUDALUR,Puduchataram,8.1,768,40.37,195,114,46.5,52.4,310,88,22,36,1,0.5,460,201.29,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,GUMMIDIPOONDI,Arani,7.62,1330,40.37,427,127.8,92,2.4,360,72,43.8,126.6,2.8,0.54,1126,384.61,Unsuitable for Drinking
Tamil Nadu,Thanjavur,THIRUVAIYARU,Vaduvakudi,7.8,1285,40.37,397,192,56,0.2,380,56,58,107,31,0.63,771,327.3,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,MINJUR,Attipattu,7.4,2790,40.37,213.5,539.6,360,2.2,390,84,97.3,282,30.5,1.11,1126,610.71,Unsuitable for Drinking
Tamil Nadu,Thanjavur,PAPA0SAM,Thirukarukuvur,9.25,840,48,31,206,13.5,1.2,65,14,7,148,20,0.67,504,201.51,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,VILLIVAKKAM,Avadi OW,7.47,670,40.37,122,99.4,90,1.4,400,84,12.2,26.6,16.1,0.81,1126,275.13,Very Poor yet Drinkable
Tamil Nadu,0gapatti0m,MAYILADUTHURAI,Mayavaram,8.4,750,42,104,121,60.5,6,210,64,12,80,10,0.55,450,186.91,Poor
Tamil Nadu,Tiruvallur,R.K.PET,Balapuram (Veeramang,7.41,620,40.37,183,148,42,15,160,44,43.8,53,17.4,1.38,1126,275.63,Very Poor yet Drinkable
Tamil Nadu,Tiruvarur,NA,Peralam,8.2,987,40.37,348,107,59,0.5,190,36,24,122,9,0.68,592,254.12,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,VILLIVAKKAM,Chozambedu (Tirumulla,7.44,6300,40.37,719.8,860,970,6.4,1120,152,180,840,32,0.72,1126,1189.04,Unsuitable for Drinking
Tamil Nadu,Tiruvarur,NA,Needamangalam,8,875,40.37,268,142,15.5,0.3,230,48,27,86,4,0.6,525,221.42,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,GUMMIDIPOONDI,Elavur,7.54,580,40.37,73.2,92.3,85,13.4,180,36,21.9,40.5,4.4,0.12,1126,258.91,Very Poor yet Drinkable
Tamil Nadu,Thanjavur,MADUKKUR,Aavikottai,7.6,1403,40.37,146,320,89,0.2,400,100,36,125,1,0.19,841,345.07,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,ELLAPURAM,Enambakkam,7.43,1180,40.37,183,185,198,2,340,64,36.5,131,13.6,0.92,1126,363.43,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,KOTTUR,Thagattur,7.6,3570,40.37,366,802,270.5,0.3,780,124,114,395,53,0.33,2142,880.8,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,POONDI,GOONIPALAYAM,7.5,780,40.37,137,158,48,2.7,300,60,26.8,45,13.5,0.49,1126,289.44,Very Poor yet Drinkable
Tamil Nadu,0gapatti0m,KEELAIYUR,Vedaranyam,9.34,1670,36,24,440,131,11,90,20,10,262,131,0.42,1002,414.58,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,GUMMIDIPOONDI,Gummidipoondi,7.47,1550,40.37,201.3,262.7,95,26.7,680,112,58.4,56.3,39.2,0.81,1126,406.41,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,THALAI0YAR,Thamaraipulam,8.2,1823,40.37,500,305,38,0.1,460,148,22,143,88,1.14,1093,460.71,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,SHOLAVARAM,Kaddapakkam,7.33,2330,40.37,280.6,525.4,202,33.4,330,32,60.8,351.9,54,0.72,1126,550.86,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,KILVELUR,Keelvalur,7.7,5100,40.37,342,1363,306,0.5,1440,248,199,453,84,0.66,3060,1251.26,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,THIRUVALANGADU,Kanakammachatrm,7.79,3130,40.37,439.2,702.9,129,1,340,76,36.5,534,1.6,0.6,1126,667.46,Unsuitable for Drinking
Tamil Nadu,Tiruvarur,NA,Pangal,7.7,3060,40.37,384,717,172.5,16.6,600,104,83,390,54,0.68,1836,762.23,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,VILLIVAKKAM,Kathavur,7,1500,40.37,414.8,292,92,10.9,620,104,87.6,86,25.9,0.65,1126,420.28,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,NA,Valagarai,8.9,2130,24,110,525,200,2.5,550,100,73,177,89,0.8,1278,526.85,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,KADAMBATHUR,Kottaiyur,7.05,1240,40.37,183,228,180,15,305,48,11,210,17.4,0.92,1126,376.83,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,NA,Velanganni,9.16,1038,36,98,178,90,71.1,220,76,7,114,28,1.02,622,264.91,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,VILLIVAKKAM,Kovilpathagai,7.26,2620,40.37,561.2,305.3,55,89.6,520,128,48.6,232.4,43.6,0.56,1126,578.41,Unsuitable for Drinking
Tamil Nadu,0gapatti0m,NA,Akkaraipettai,9.22,2500,36,98,703,125.5,37.1,190,32,27,456,67,0.78,1500,621.15,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,PALLIPATTU,Krishnasamudram OW,7.52,1756,40.37,189.1,319.5,205,31.7,160,20,109.4,131.8,32.1,1.38,1126,446.91,Unsuitable for Drinking
Tamil Nadu,Karaikal,KARAIKAL,Kottucherry,7.9,1098,40.37,293,185,62,0.1,460,84,61,44,12,0.45,658,277.97,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,POONAMALLEE,Mepperu,7.16,1270,40.37,378.2,156.2,164.7,3,360,40,63.2,129.3,14.9,0.24,1126,383.77,Unsuitable for Drinking
Tamil Nadu,Vellore,VELLORE,Kesavapuram,7.55,3200,40.37,354,669,220,104,850,128,129,299,7.4,2.32,1920,796.21,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,KADAMBATHUR,Mettukandigai,7.56,3360,40.37,402.6,688.7,245,10,1030,260,92.4,262.8,1.7,1.08,1126,700.22,Unsuitable for Drinking
Tamil Nadu,Vellore,A0ICUT,Palligonda,7.83,1446,40.37,183,228,89,144,410,116,29,109,0.92,0.65,867,369.34,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,MINJUR,Minjur dw,7.07,1654,40.37,366,347.9,123,0.5,570,128,60.8,174.3,8.2,0.78,1126,445.08,Unsuitable for Drinking
Tamil Nadu,Vellore,K.V.KUPPAM,Veppaneri,7.88,2500,40.37,207,462,122,182,600,72,102,217,3.9,0.63,1500,617.27,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,MINJUR,Nandiambakkam,7.4,875,40.37,244,134.9,113,2.2,430,72,60.8,51.8,3,0.24,1126,316.16,Unsuitable for Drinking
Tamil Nadu,Vellore,PER0MPATTU,Machampattu,7.73,6910,40.37,146,1892,248,74,2250,556,209,414,5.2,0.68,4146,1656.77,Unsuitable for Drinking
Tamil Nadu,Tiruvallur,THIRUVALANGADU,NEDAMBARAM,7.61,940,40.37,231.8,71,125,13.6,630,72,24.3,68,15.5,1.32,1126,320.58,Unsuitable for Drinking
Tamil Nadu,Vellore,MADHANUR,Thottalam,8.05,1032,40.37,500,100,61,4,330,40,56,89,4.2,1.09,619,275.3,Very Poor yet Drinkable
Tamil Nadu,Tiruvallur,SHOLAVARAM,Padiyanallur,7.38,878,40.37,341.6,120.7,48,14.5,380,80,43.8,51.2,2,1.08,1126,318.02,Unsuitable for Drinking
Tamil Nadu,Vellore,MADHANUR,Palur Dw,8.1,1839,40.37,37,356,155,28,580,104,78,97,48,0.31,1103,439.87,Unsuitable for Drinking
